emotion.negative,emotion.positive,relation.person,relation.conflict,relation.cheated,relation.divorce,relation.love,relation.birth,relation.loss,relation.rejection,relation.family_shaming,relation.reunion,abuse.physical,abuse.mental,abuse.sexual,self_critical,,,,,
bothered,Captivated,stepmom,opposition,gull,trisect,affaire,,assassination,,,,,,,,,,,,
bothersome,Cared For,stepfather,rift,hoax,fragment,closeness,,execution,,,,,,,,,,,,
bounded,Careful,stepdad,riot,jive,fragmentate,relationship,,killing,,,,,,,,,,,,
boxed-in,Caring,stepson,rumpus,juke,fragmentize,flirt,,massacre,,,,,,,,,,,,
broken,Cautious,stepdaughter,run-in,lead on,break,marriage,,slaughter,,,,,,,,,,,,
bruised,Centered,stepsister,rupture,darnel,fracture,hookup,,,,,,,,,,,,,,
brushed-off,Certain,stepbrother,scrape,tare,pull,kinship,,,,,,,,,,,,,,
bugged,Cheerful,father-in-law,scrimmage,bearded_darnel,rend,miss,,,,,,,,,,,,,,
bullied,Cherished,mother-in-law,set-to,cheat,rift,missing,,,,,,,,,,,,,,
bummed,Clean,sister-in-law,shock,lolium_temulentum,rip,,,,,,,,,,,,,,,
bummed out,Clear,son-in-law,showdown,chess,rive,,,,,,,,,,,,,,,
burdened,Collected,daughter-in-law,skirmish,cheat,rupture,,,,,,,,,,,,,,,
burdensome,Comfortable,in-laws,smash,bromus_secalinus,tear,,,,,,,,,,,,,,,
burned,Comforted,widower,wallop,deceiver,cut off,,,,,,,,,,,,,,,
burned-out,Committed,grandchild,battle,cheat,insulate,,,,,,,,,,,,,,,
caged in,Compassionate,teacher,conflict,cheater,isolate,,,,,,,,,,,,,,,
careless,Complete,doctor,fight,trickster,seclude,,,,,,,,,,,,,,,
chaotic,Composed,employee,engagement,beguiler,segregate,,,,,,,,,,,,,,,
chased,Comprehending,employer,fight,slicker,sequester,,,,,,,,,,,,,,,
cheated,Confident,manager,fighting,swindle,detach,,,,,,,,,,,,,,,
cheated on,Congruent,helper,combat,cheat,disengage,,,,,,,,,,,,,,,
chicken,Connected,HR,scrap,rig,disentangle,,,,,,,,,,,,,,,
claustrophobic,Conscious,boss,competitiveness,cheat,unravel,,,,,,,,,,,,,,,
clingy,Constant,leader,fight,cheating,untie,,,,,,,,,,,,,,,
closed,Content,students,fight,cheat,part,,,,,,,,,,,,,,,
clueless,Cooperative,mentor,fight,rip_off,,,,,,,,,,,,,,,,
clumsy,Courageous,baby,contend,chisel,,,,,,,,,,,,,,,,
coaxed,Credible,fiancee,fight,cheat,,,,,,,,,,,,,,,,
codependent,Daring,fiance,struggle,chouse,,,,,,,,,,,,,,,,
coerced,Decisive,grandchildren,fight,shaft,,,,,,,,,,,,,,,,
cold,Defended,half-brother,oppose,screw,,,,,,,,,,,,,,,,
cold-hearted,Delighted,half-sister,fight_back,chicane,,,,,,,,,,,,,,,,
combative,Dependable,twin,fight_down,jockey,,,,,,,,,,,,,,,,
commanded,Desirable,kid,defend,cheat,,,,,,,,,,,,,,,,
compared,Dignified,couple,fight,chisel,,,,,,,,,,,,,,,,
competitive,Discerning,ex-husband,struggle,cheat_on,,,,,,,,,,,,,,,,
compulsive,Disciplined,ex-wife,crusade,cheat,,,,,,,,,,,,,,,,
conceited,Distinguished,ex-boyfriend,fight,cuckold,,,,,,,,,,,,,,,,
concerned,Dutiful,ex-girlfriend,press,betray,,,,,,,,,,,,,,,,
condescended to,Dynamic,physician,campaign,wander,,,,,,,,,,,,,,,,
confined,Eager,therapist,push,,,,,,,,,,,,,,,,,
conflicted,Easy-going,dad,agitate,,,,,,,,,,,,,,,,,
confronted,Ecstatic,dada,,,,,,,,,,,,,,,,,,
confused,Edified,daddy,,,,,,,,,,,,,,,,,,
conned,Efficient,pa,,,,,,,,,,,,,,,,,,
consumed,Elated,papa,,,,,,,,,,,,,,,,,,
contemplative,Elegant,pappa,,,,,,,,,,,,,,,,,,
contempt,Elevated,pop,,,,,,,,,,,,,,,,,,
contentious,Emancipated,ma,,,,,,,,,,,,,,,,,,
controlled,Empowered,mama,,,,,,,,,,,,,,,,,,
convicted,Encouraged,mamma,,,,,,,,,,,,,,,,,,
cornered,Energetic,mom,,,,,,,,,,,,,,,,,,
corralled,Energized,momma,,,,,,,,,,,,,,,,,,
cowardly,Enthusiastic,mommy,,,,,,,,,,,,,,,,,,
crabby,Euphoric,mammy,,,,,,,,,,,,,,,,,,
cramped,Exceptional,mum,,,,,,,,,,,,,,,,,,
cranky,Excited,mummy,,,,,,,,,,,,,,,,,,
crap,Exhilarated,brother,,,,,,,,,,,,,,,,,,
crappy,Experienced,blood_brother,,,,,,,,,,,,,,,,,,
crazy,Expressive,brother,,,,,,,,,,,,,,,,,,
creeped out,Exuberant,buddy,,,,,,,,,,,,,,,,,,
creepy,Faith,brother,,,,,,,,,,,,,,,,,,
critical,Fantastic,chum,,,,,,,,,,,,,,,,,,
criticized,Favored,crony,,,,,,,,,,,,,,,,,,
cross,Firm,pal,,,,,,,,,,,,,,,,,,
crowded,Flexible,sidekick,,,,,,,,,,,,,,,,,,
cruddy,Flowing,brother,,,,,,,,,,,,,,,,,,
crummy,Focused,comrade,,,,,,,,,,,,,,,,,,
crushed,Forceful,brother,,,,,,,,,,,,,,,,,,
cut-down,Forgiven,sister,,,,,,,,,,,,,,,,,,
cut-off,Fortified,sis,,,,,,,,,,,,,,,,,,
cynical,Fortunate,sister,,,,,,,,,,,,,,,,,,
damaged,Free,sister,,,,,,,,,,,,,,,,,,
damned,Friendly,baby,,,,,,,,,,,,,,,,,,
dangerous,Fulfilled,babe,,,,,,,,,,,,,,,,,,
dark,Gentle,sister,,,,,,,,,,,,,,,,,,
dazed,Genuine,teacher,,,,,,,,,,,,,,,,,,
dead,Gifted,instructor,,,,,,,,,,,,,,,,,,
deceived,Glowing,teacher,,,,,,,,,,,,,,,,,,
deep,Good-natured,lover,,,,,,,,,,,,,,,,,,
defamed,Graceful,fan,,,,,,,,,,,,,,,,,,
defeated,Gracious,buff,,,,,,,,,,,,,,,,,,
defective,Gratified,devotee,,,,,,,,,,,,,,,,,,
defenseless,Grounded,lover,,,,,,,,,,,,,,,,,,
defensive,Growing,lover,,,,,,,,,,,,,,,,,,
defiant,Guarded,boyfriend,,,,,,,,,,,,,,,,,,
deficient,Happy,fellow,,,,,,,,,,,,,,,,,,
deflated,Harmonious,beau,,,,,,,,,,,,,,,,,,
degraded,Healed,swain,,,,,,,,,,,,,,,,,,
dehumanized,Helpful,young_man,,,,,,,,,,,,,,,,,,
dejected,Heroic,him,,,,,,,,,,,,,,,,,,
delicate,High,he,,,,,,,,,,,,,,,,,,
deluded,Honest,she,,,,,,,,,,,,,,,,,,
demanding,Honorable,they,,,,,,,,,,,,,,,,,,
demeaned,Honored,him,,,,,,,,,,,,,,,,,,
demented,Hopeful,her,,,,,,,,,,,,,,,,,,
demoralized,Humble,them,,,,,,,,,,,,,,,,,,
demotivated,Humorous,their,,,,,,,,,,,,,,,,,,
dependent,Important,his,,,,,,,,,,,,,,,,,,
depleted,In control,youth,,,,,,,,,,,,,,,,,,
depraved,Included,youngsters,,,,,,,,,,,,,,,,,,
depressed,Independent,youngest,,,,,,,,,,,,,,,,,,
deprived,Infatuated,younger sister,,,,,,,,,,,,,,,,,,
deserted,Influential,younger brother,,,,,,,,,,,,,,,,,,
deserving of pain/punishment,Innocent,young one,,,,,,,,,,,,,,,,,,
desolate,Inspired,wives,,,,,,,,,,,,,,,,,,
despair,Intelligent,wife,,,,,,,,,,,,,,,,,,
despairing,Interested,widower,,,,,,,,,,,,,,,,,,
desperate,Invigorated,village,,,,,,,,,,,,,,,,,,
despicable,Invincible,upbringing,,,,,,,,,,,,,,,,,,
despised,Invited,uncles,,,,,,,,,,,,,,,,,,
destroyed,Jovial,uncle,,,,,,,,,,,,,,,,,,
destructive,Joyful,tribe,,,,,,,,,,,,,,,,,,
detached,Jubilant,thugs,,,,,,,,,,,,,,,,,,
detest,Judicious,teens,,,,,,,,,,,,,,,,,,
detestable,Kind,teenagers,,,,,,,,,,,,,,,,,,
detested,Learning,teacher,,,,,,,,,,,,,,,,,,
devalued,Liberated,suburbs,,,,,,,,,,,,,,,,,,
devastated,Light,suburban,,,,,,,,,,,,,,,,,,
deviant,Lighthearted,students,,,,,,,,,,,,,,,,,,
devoid,Loose,student,,,,,,,,,,,,,,,,,,
diagnosed,Loved,strangers,,,,,,,,,,,,,,,,,,
dictated to,Loyal,stranger,,,,,,,,,,,,,,,,,,
different,Lucky,spouses,,,,,,,,,,,,,,,,,,
difficult,Magnetic,spouse,,,,,,,,,,,,,,,,,,
directionless,Marvelous,special,,,,,,,,,,,,,,,,,,
dirty,Masterful,sons,,,,,,,,,,,,,,,,,,
disabled,Mature,son,,,,,,,,,,,,,,,,,,
disagreeable,Meek,someone,,,,,,,,,,,,,,,,,,
disappointed,Merciful,sisters,,,,,,,,,,,,,,,,,,
disappointing,Methodical,sister,,,,,,,,,,,,,,,,,,
disapproved of,Mindful,sis,,,,,,,,,,,,,,,,,,
disbelieved,Modest,siblings,,,,,,,,,,,,,,,,,,
discardable,Motivated,sibling,,,,,,,,,,,,,,,,,,
discarded,Neat,servants,,,,,,,,,,,,,,,,,,
disconnected,Noble,roommates,,,,,,,,,,,,,,,,,,
discontent,Non-judgmental,roommate,,,,,,,,,,,,,,,,,,
discouraged,Observant,relatives,,,,,,,,,,,,,,,,,,
discriminated,Open,relative,,,,,,,,,,,,,,,,,,
disdain,Open Hearted,relationship,,,,,,,,,,,,,,,,,,
disdainful,Organized,puppy,,,,,,,,,,,,,,,,,,
disempowered,Outgoing,plight,,,,,,,,,,,,,,,,,,
disenchanted,Pacified,pet,,,,,,,,,,,,,,,,,,
